b94221f783eb87845713fd033590015677926a71ee9010789aeb11e63c50cbd0	96bc14d3065c18370765770912bf3655de616c458543f8eb0987ae20382cc951	24.600	479	0.773	0.902
b94221f783eb87845713fd033590015677926a71ee9010789aeb11e63c50cbd0	9a69f923b2bf45e20eed3905266ca7b53741b020e6fa203a9eddd813d4676ce3	24.600	479	0.773	0.900
b94221f783eb87845713fd033590015677926a71ee9010789aeb11e63c50cbd0	0fb879da9be1b5029e2f03b78419810db3a9a5372dab75e4e95b7a38eb42fbaf	24.600	479	0.773	0.898
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	eb22c4e8269e10da8fb1b74f827583acb652def7ed052c2c048fb4491d8efc9d	100.000	209	0.886	0.995
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	885b15da5e87f09addf84748af1897f67df0331f3b1370b8499fc0fa4156072e	100.000	208	0.881	0.995
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	e5a8927f209306e4098e76150fb3fead0b64d4144b66cd4fc37d543e4ef8d5b3	100.000	208	0.881	0.986
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	847942c636b128fe77fd1b34271486b58a1c83e1d9319c9c4e79c1f40c69a5fe	100.000	208	0.881	0.981
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	009248cccf0caf41010a5615a78ed277fb4203abd827b71efccee48b9ccc5b88	100.000	208	0.881	0.977
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	65d51f7e3d68ef6ec8810e77f0f642520a0f9fb7a958f756d045e87a8e048c38	100.000	208	0.881	0.972
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	4edcfda715daf076bf5a1507c2a19ac379fc3465f3c7fb29313e64c7e493f830	97.100	212	0.898	1.000
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	5b62d81be472aaecd195c9de7e69dc0ada05879ec9314d797cfbc148d683e467	99.500	208	0.881	0.986
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	6c52bc9962c4e528319d25a65991682ff71117d5fccb55b84fdf1170cffbe099	97.100	210	0.890	1.000
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	f494b451754f8b7d079d4fececc4278039dcafaabab0f0f661a9dcfea8c267ba	99.500	208	0.881	0.972
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	c4ee341c5aea2512b02bfc4b47efb15f57daac44515491d6d39686472d0cb9b5	100.000	205	0.869	1.000
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	66b547b2dccb6eb076ff1e12a93691c833d7029949220b869368797736df9a87	99.500	208	0.881	0.976
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	5292660937d86c9337e23c88a1885621c8d8e84966ce5c6d574b92233b01e508	99.000	209	0.886	0.972
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	39250106823cb9dfe6374900803cd98a3cf71f30d504a57300dcc5d7b8599ea1	98.500	207	0.877	1.000
1eb366ad2e98ebb1bd81e6204d945f8682ce021cc541c580fba53a018b8c0b89	2f56ce70a2267a63c9cf6b503aaeeac8712245e5c9ebb9689eabf46c90c6c569	98.500	208	0.881	0.995
